Sample ID	Experiment ID	Run ID	Sample Description	No. reads (Spots)	Layout	Read Length (bp)
SRS1826474	SRX2384330	SRR5063860	Brain Cortex	2,808,426	SINGLE	74
SRS1826474	SRX2384330	SRR5063861	Brain Cortex	2,641,761	SINGLE	74
SRS1826474	SRX2384330	SRR5063862	Brain Cortex	2,725,374	SINGLE	74
SRS1826474	SRX2384330	SRR5063863	Brain Cortex	2,622,670	SINGLE	74
SRS1826474	SRX2384330	SRR5063864	Brain Cortex	2,608,751	SINGLE	74
SRS1826474	SRX2384330	SRR5063865	Brain Cortex	2,446,288	SINGLE	74
SRS1826474	SRX2384330	SRR5063866	Brain Cortex	2,534,255	SINGLE	74
SRS1826474	SRX2384330	SRR5063867	Brain Cortex	2,431,317	SINGLE	74
SRS1826476	SRX2384332	SRR5063876	Brain Cortex	2,419,152	SINGLE	74
SRS1826476	SRX2384332	SRR5063877	Brain Cortex	2,286,079	SINGLE	74
SRS1826476	SRX2384332	SRR5063878	Brain Cortex	2,358,566	SINGLE	74
SRS1826476	SRX2384332	SRR5063879	Brain Cortex	2,269,338	SINGLE	74
SRS1826476	SRX2384332	SRR5063880	Brain Cortex	2,135,391	SINGLE	74
SRS1826476	SRX2384332	SRR5063881	Brain Cortex	2,008,992	SINGLE	74
SRS1826476	SRX2384332	SRR5063882	Brain Cortex	2,073,323	SINGLE	74
SRS1826476	SRX2384332	SRR5063883	Brain Cortex	2,000,385	SINGLE	74
SRS1826478	SRX2384334	SRR5063892	Brain Cortex	2,531,562	SINGLE	74
SRS1826478	SRX2384334	SRR5063893	Brain Cortex	2,417,324	SINGLE	74
SRS1826478	SRX2384334	SRR5063894	Brain Cortex	2,502,313	SINGLE	74
SRS1826478	SRX2384334	SRR5063895	Brain Cortex	2,406,056	SINGLE	74
SRS1826478	SRX2384334	SRR5063896	Brain Cortex	8,287,353	SINGLE	74
SRS1826478	SRX2384334	SRR5063897	Brain Cortex	8,452,169	SINGLE	74
SRS1826478	SRX2384334	SRR5063898	Brain Cortex	8,341,535	SINGLE	74
SRS1826478	SRX2384334	SRR5063899	Brain Cortex	8,415,397	SINGLE	74
SRS1826480	SRX2384336	SRR5063908	Brain Cortex	2,888,890	SINGLE	74
SRS1826480	SRX2384336	SRR5063909	Brain Cortex	2,743,995	SINGLE	74
SRS1826480	SRX2384336	SRR5063910	Brain Cortex	2,829,902	SINGLE	74
SRS1826480	SRX2384336	SRR5063911	Brain Cortex	2,732,106	SINGLE	74
SRS1826480	SRX2384336	SRR5063912	Brain Cortex	1,682,859	SINGLE	74
SRS1826480	SRX2384336	SRR5063913	Brain Cortex	1,590,989	SINGLE	74
SRS1826480	SRX2384336	SRR5063914	Brain Cortex	1,634,174	SINGLE	74
SRS1826480	SRX2384336	SRR5063915	Brain Cortex	1,579,979	SINGLE	74
SRS1826482	SRX2384338	SRR5063924	Brain Cortex	3,290,628	SINGLE	74
SRS1826482	SRX2384338	SRR5063925	Brain Cortex	3,098,587	SINGLE	74
SRS1826482	SRX2384338	SRR5063926	Brain Cortex	3,208,375	SINGLE	74
SRS1826482	SRX2384338	SRR5063927	Brain Cortex	3,084,189	SINGLE	74
SRS1826482	SRX2384338	SRR5063928	Brain Cortex	2,857,700	SINGLE	74
SRS1826482	SRX2384338	SRR5063929	Brain Cortex	2,687,500	SINGLE	74
SRS1826482	SRX2384338	SRR5063930	Brain Cortex	2,781,610	SINGLE	74
SRS1826482	SRX2384338	SRR5063931	Brain Cortex	2,671,398	SINGLE	74
SRS1826484	SRX2384340	SRR5063940	Brain Cortex	1,875,695	SINGLE	74
SRS1826484	SRX2384340	SRR5063941	Brain Cortex	1,792,568	SINGLE	74
SRS1826484	SRX2384340	SRR5063942	Brain Cortex	1,857,310	SINGLE	74
SRS1826484	SRX2384340	SRR5063943	Brain Cortex	1,780,441	SINGLE	74
SRS1826484	SRX2384340	SRR5063944	Brain Cortex	8,005,917	SINGLE	74
SRS1826484	SRX2384340	SRR5063945	Brain Cortex	8,209,800	SINGLE	74
SRS1826484	SRX2384340	SRR5063946	Brain Cortex	8,057,907	SINGLE	74
SRS1826484	SRX2384340	SRR5063947	Brain Cortex	8,174,733	SINGLE	74
